Pais_comprador,secciones,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio,Fecha
América Latina,SECCION I Animales Vivos,2810,N/D,N/D,11498,N/D,11784,N/D,10,N/D,N/D,N/D,N/D,20,60,7890,40,60,40,60,80,339,135,31,50,90,616,80,1291,100,120,1135029,1786,120,80,100,5900,2840,100,115,100,140,100,130,160,272,70,125,234887,12726,1157,2039,6530,N/D,N/D,2226,7225,5224,2634,5046,3364,3685,2483,8509,29463,3588,N/D,520,5863,3581,260,6156,3857,7944,4277,2550,8530,1397,2253,1859,6472,83673,3740,2170,2430,1511156,2139903,1717893,2992864,2812464,1197382,1205342,1608059,1123536,1346676,3485459,1898781,961506,1359055,1057393,1733850,1919412,1424499,1459846,1073715,1706839,2685522,1881648,2578382,1183448,1070359,1327114,930785,477354,832987,363161,1142964,1377872,933703,925277,1358631,1927489,728558,669795,1513690,1523909,1484099,2337780,1870800,1949720,2250093,1582350,1660448,1652103,1726401,2774237,1997902,2240132,3568152,2859892,3203854,2488910,2018594,2404167,2472214,2999179,3218958,3032195,2213683,2435341,2594065,2497365,2413524,3034216,2755167,2739997,1905248,2789194,14911912,3532990,2505195,2892616,2279741,3052565,3164117,3475391,2758173,3599930,5220137,2020081,1861744,1906392,1918222,2016933,1751272,2218347,2170420,1624417,1952705,1984757,1323310,2354128,1674584,1463391,1414196,1375846,1292834,1421926,1458528,1085227,1421053,1787590,1177259,1161209,1296127,1263269,1167554,1343994,995628,1171695,1116555,971544,931174,1384763,679129,1017006,948468,746399,1072067,1131883,1371131,1015541,248853978
América Latina,SECCION II Productos del Reino Vegetal.,29708,81170,161744,20227,154480,51436,114083,66464,50080,59308,69607,60428,42315,10243,160867,56241,15296,95986,35626,58162,146133,8991,14645,13005,87173,187770,169226,160041,62185,13806,30341,44059,66737,69646,62632,39693,74886,37857,30760,51134,88659,23884,52901,83669,21470,86169,69274,54244,1409424,2805689,1445224,1426425,1028686,1155652,872056,1163317,1150156,1019525,2822543,3519716,1452922,1482272,380554,1094705,844209,956731,614872,566280,4257321,580711,372147,4188654,1549442,129289,87989,1049090,1819424,1002162,106229,104851,130632,79967,4312114,2466392,1225400,1071546,1579771,3483126,4697327,2018496,1436538,2321990,1646272,2048249,4285721,4069704,2887328,1558025,2501366,2425459,3045682,6539827,2206140,6543617,2132060,2578215,2386707,3149214,8523769,4165939,3590844,1460058,1865990,3505633,2712863,2215455,1889195,2616661,2346932,6671627,7233043,10043384,5739976,4249638,4984748,3499249,4396104,3874819,2650571,4204529,3880740,5047034,3809591,13096616,16469151,8048256,7686535,3831325,4790806,6560356,5193915,3467998,5259017,4848414,10859994,11256701,8567355,15036352,4520780,5263404,4302435,4089973,5843972,6557839,6927529,17046675,12551848,5461340,5238476,29941447,10220283,3460352,5157665,5881659,6136615,6023321,9677214,7875284,6237674,15344020,17862192,30989245,14728583,7453407,9799335,4982651,5653350,12436346,7098587,4496745,4768604,3372293,4961709,6892097,3600020,13261065,3976689,2737913,3420313,3808713,2313120,3121805,2146908,3637018,8053930,13310574,8329608,3668971,3331142,2894397,4031433,9405636,7826448,7173670,5444689,10404264,15302979,5945949,9875030,4229328,3550361,834737568
América Latina,SECCION III Grasas y Aceites Animales o Vegetales; Productos de su Desdoblamiento; Grasas Alimenticias Elaboradas; Ceras de Origen Animal o Vegetal.,59263,32923,104686,20404,238138,16994,29345,35422,7802,7582,20438,18086,100223,20627,N/D,49220,8425,21560,12110,26513,52414,12679,13520,18411,N/D,2200,13782,3282,57341,7230,9609,1918,2134,8355,186,11560,18403,6766,5335,6885,16989,10471,9871,19640,13036,22435,32895,22880,34438,40903,167064,9064,114614,90369,26301,77665,98656,64712,423297,302481,113960,366883,403900,540201,425568,163187,403580,138550,90621,124489,522763,558656,114796,22307,102528,326926,3584650,296217,45972,99087,141957,91550,174155,391775,434889,224163,352936,800779,887752,788004,561621,539384,371324,837340,784707,711404,961084,997203,649804,194962,526593,475890,478073,540560,1342790,1589850,188858,518441,380783,297763,487419,230442,328554,731649,218214,316237,274959,115310,114449,60859,723235,812417,561795,949922,727118,324547,246754,759446,584270,460918,9390,751800,702173,1400747,1589144,1517423,1797916,1385629,759497,1662988,1075956,1287764,1556039,660526,730578,780389,440410,734014,663943,436473,555127,437618,246547,486953,1648644,1465460,959117,1068040,363035,1073765,1109513,1411207,429615,715626,1456369,3650804,1494942,1024518,1532917,691384,1894746,1139892,1620858,515669,1820004,1148868,1290739,643926,371453,1141350,437523,908152,533418,358611,1776573,427525,332377,371412,324707,436569,253974,728943,631350,684852,726091,661756,712989,716197,421978,991245,390373,371550,325942,452718,842846,727736,1021605,947962,982125,632565,1161251,111033679
América Latina,"SECCION IV Productos de las Industrias Alimentarias; Bebidas, Líquidos Alcohólicos y Vinagre; Tabaco y Sucedáneos del Tabaco Elaborados.",2042166,3094866,3610916,4290633,5662511,4173702,5356877,5052258,4985538,4741533,4369033,4567736,4703307,4583532,6682330,5749142,5609199,4267496,7897771,642216,6339099,9587628,8225703,6971122,4913457,4941698,5689972,5951639,7593181,4997260,7056544,6026122,6748138,6246663,5259882,5629624,3829885,3774281,5248573,3878594,5426492,5086529,5542820,6756273,5671056,7916157,6084022,6082719,10559718,8533433,8904618,5591593,5192489,6284446,6641409,8230721,8463899,9474153,8908807,7870651,7396900,9501441,7700793,9772347,10577693,11413502,11210964,13400154,14413178,13889338,12203200,13038969,11645707,16743892,17824080,13892887,15346376,12842164,13720382,16236627,15966404,16625213,18442530,14609388,21764876,27030730,31005420,25903726,31404273,32382683,38591489,40193048,32008834,39156726,38035046,27372107,34620050,34072426,32954667,34327320,29643663,24479223,29247827,25180094,23061662,27820170,22740781,26734359,17824979,20007334,23256250,19802222,21890257,23484027,19929508,25012938,21162157,23611680,26470512,31321425,15139931,29045702,29446073,29777376,27867928,29226810,27404942,29450444,26750111,35402815,32679998,29209215,23762293,32333419,34232929,23895510,27881395,35375564,32519976,36095306,29665851,36016941,31425662,30881662,25608436,33820621,31211806,30606293,35469327,28211922,40643550,35214355,32599456,31908985,28959916,29601189,28476031,28302084,31347828,31599303,37930495,32837154,35990777,36585050,29293675,36508116,33717660,31717876,29323104,33813605,37907786,36684864,33729487,35157965,39740140,39294298,36205328,36620210,41372206,40949676,30189843,38514410,39076019,34698120,36467425,39733127,53670227,50723800,46860824,39692546,32500190,37852713,25726151,33627443,36339835,36285419,39538617,35481146,39187100,36957501,36179138,35844817,36465902,36875522,30520872,31858836,39087629,25673958,35039264,39270908,35622626,4756142044
América Latina,SECCION V Productos Minerales.,337482,330556,535247,394715,320252,481871,429296,616205,414898,591836,526530,406962,511675,471943,385721,581393,395526,716222,4363488,560607,673411,718122,742207,792728,565672,591939,535777,630409,570828,736380,643708,16249285,8945299,1627410,1501269,1688902,1767194,1633014,1872289,2377749,2589455,2051300,1999158,1880428,1693409,1749625,1346664,1471251,287065,190900,338974,204700,198680,152267,88431,22122,84268,166975,218640,221130,409582,447850,605881,487564,562041,778766,503439,607151,730559,593770,876665,1043456,833543,581713,578980,808001,755351,990976,528107,949745,1013210,705595,314516,271187,2026379,1664771,2992938,2847959,3059525,3207483,3128811,3981083,2585422,1663494,1510263,2283205,3472801,3882269,4225158,5111476,4870121,6165419,4316799,4104181,2979380,1641973,1220528,1089653,2157043,2471368,2068542,1803429,2653458,3670284,3198647,2613910,2671092,3101959,4598235,4202319,4589708,3695510,3965928,10870603,13394055,6098792,3963041,2036070,2227172,1977098,2311866,1886040,2948473,2759426,2836367,2335912,2210870,2127904,1927970,2201935,2620027,1829757,2867687,2183181,2419941,2095937,2463904,2425147,2619658,2251641,2465289,3599246,2047242,2783304,1590740,2199368,7089521,7199533,8786584,8671232,9151394,10583465,7279437,6455100,9224786,5423671,6184916,4882751,2497315,2276305,2342421,2049122,2066834,2641059,3253036,2675078,3779051,3354519,2444634,2469995,2009436,1762455,2358569,2161086,2454983,2524669,2572700,2928975,2147221,2499262,2605223,2755225,1814002,2479461,2636532,2327094,2707049,2260501,2814365,3015304,2730825,2161474,2089141,2787475,1544369,2340061,2542832,2336990,2398491,2865799,2834579,513485096
América Latina,SECCION VI Productos de las Industrias Químicas o de las Industrias Conexas.,7038065,6808090,10015721,20330655,22657810,22365815,15169347,14848868,13140263,14541419,16519255,11479525,9364529,16281811,15913536,16285189,16263280,13616127,14760665,14603718,12741156,15365429,9827081,10515042,11953741,13507058,12888981,13427173,14628487,11818727,15330819,16466064,14258823,18487796,10619258,12491971,9332607,10599652,12834139,12623177,11505423,12574387,13699492,17283979,15516459,17813292,13327626,12764044,8526150,10150634,15140062,14024897,10014081,13819982,10230323,14316400,11138920,14020581,17561762,15963822,16432495,24220696,20936562,19851265,23879206,20510319,25917156,25861665,24730913,26303989,35550525,29103918,22870962,21514531,28729488,21719232,23882167,24889648,21626201,27366484,25985304,30160133,26313416,25460824,25770232,29919285,36102601,31264213,29910055,34409211,31119668,37950400,31106879,34832448,30687778,24240571,28934618,34062976,28819306,33952616,33714361,33992708,37353303,31086101,33592818,37330738,30456258,26049835,20442192,24724573,25014153,26662091,25599755,30168084,29225805,28440060,27317326,28196296,29355193,27239586,23176394,31509967,40203247,34762613,27189660,32575097,33071574,36299450,31798552,36694022,33511339,32884868,32974539,40561253,45727148,41561788,43609068,40832563,39449868,42424550,37346509,37061432,46738590,42514015,34885517,40290185,48360252,43320411,46326554,51217647,45644861,46906758,50882707,42078744,37628048,31044883,32631877,35402046,35313238,36976724,47306597,47056806,46875047,47619329,43728295,45869141,45890650,31929956,40160330,44711842,49227838,54235203,55746542,56014217,54832065,51337791,50175023,50835454,52715154,43355483,37475448,40774100,51381981,49492097,56385939,53581454,45145098,45456634,41696457,39091255,40150770,36680649,32021119,34480055,39077779,37169094,40948653,41956557,43965713,43648484,39549013,30698781,38029429,30893741,29737975,31442193,42925733,32711849,42332280,52085567,41088790,6269059058
América Latina,SECCION VII Plástico y sus Manufacturas; Caucho y sus Manufacturas.,3517293,1927554,2320273,2549610,3120018,2805323,3342103,2862333,2100625,3210629,2345621,2490212,2537199,3525873,3625739,4585403,3418142,3827669,2906159,3691722,3257524,4216919,4066724,2149542,2930671,2838271,3635955,3738179,3340981,2786779,3536324,4224899,2731437,1869391,1703022,1914225,2591596,3204772,2976950,3879343,1932740,2386654,2379103,2789860,2163008,2138878,3235065,4414119,4126666,2261190,3894033,4229256,2998485,3924859,3371691,3743827,4729025,3702454,3932731,3585356,4871247,3233275,3881068,5265219,2615461,3627037,4334435,4221662,3198715,2969278,2973571,2873159,2326054,2941901,3498526,4134394,4417449,3330953,4435468,4457426,4209252,4674020,4089357,3623641,4977752,6013603,5064086,7527463,6117276,5173737,5551840,6189614,4780882,6529437,6064313,5854740,4813762,7439577,5895261,8235510,5979362,6807553,7845856,7946106,7235612,6843252,5091887,5253182,4299822,4607704,5754123,4430213,6189762,6852227,6046679,5243715,7866324,8919723,8514918,7100984,7828884,14143330,14838928,11804728,9397516,8681095,10337771,9689168,8582512,7851344,7865238,7404173,9974241,12108694,12191731,10409750,45660796,10594831,9985610,12368479,14505544,11621270,13080619,10656787,9206231,10165970,10634342,13289859,11728673,11173190,11312868,12939278,10976050,13539121,12382582,10266855,10042164,10389066,11665298,13705667,12343819,11685321,14429915,12320220,14006333,11907933,8902891,9772386,13606095,13704416,14574718,17351957,18121544,15272012,18202688,15989403,17472879,19795468,15613843,16582357,15947294,14022123,19466670,16184419,13774717,15734341,18498858,15603775,16386882,17508427,15669973,15948008,12914548,14953112,15094216,18143401,17569391,15961856,15360778,17125117,19193086,18548923,18787905,19650381,16388521,15657852,23121974,15023237,21100744,18024019,16434214,1793957102
América Latina,"SECCION VIII Pieles, Cueros, Peletería y Manufacturas de estas Materias; Artículos de Talabartería o Guarnicionería; Artículos de Viaje, bolsos de Mano y Continentes Similares; Manufacturas de Tripa.",139271,153356,172608,243527,405432,485562,319450,357772,394400,440485,261975,398493,353115,241198,379316,764324,605990,840380,191616,647158,291793,489978,261975,325090,254450,164262,134263,69359,118993,121429,65792,273363,157737,328383,226981,108355,159132,179442,213286,477647,446499,133877,339808,256671,274032,196923,195553,190846,40407,16100,47827,48136,33578,54302,26770,48550,79406,62787,113584,72782,176427,57678,50240,138757,116307,183149,18754,107499,89803,21078,104961,47537,30728,60254,37164,12981,45644,83308,28127,33634,24233,4820,31953,18484,40276,26699,1016629,41814,67081,76199,45860,50980,122471,38809,39497,51159,43868,48332,48103,39905,24928,38686,26705,16162,92110,84715,53903,163984,44335,65889,52857,48222,31667,113147,79178,31551,45335,130877,73540,54827,61110,107037,135029,89010,96630,64385,215934,94718,350967,167577,197619,146050,66518,78239,196246,192475,238218,370785,187585,345812,56585,158589,260717,121917,152812,64634,109785,171266,103529,107583,93819,203724,144095,184146,233869,147856,89126,195631,132087,198539,117822,124970,189771,165574,187544,194521,171676,141523,188642,172992,142905,198329,162358,194321,109453,160799,167826,181190,176965,166614,102959,121325,164692,108787,164124,87673,183875,241035,170574,212334,131140,138928,107279,121096,212814,151895,145673,139414,108294,232489,130862,71792,167496,113324,135742,106811,330251,79051,135298,79596,96065,33630054
América Latina,"SECCION IX Madera, Carbón Vegetal y Manufacturas de Madera; Corcho y sus Manufacturas; Manufacturas de Espartería o Cestería.",167697,187345,130222,181444,101964,287307,81217,114040,255824,129050,153613,133092,147380,125780,195019,157417,218624,252279,259510,279558,419430,343019,212261,154822,129626,130846,300468,171521,212636,80893,106788,120388,165789,277247,225536,108300,150273,229902,372973,342985,222042,59956,152423,313258,507372,443926,273283,232498,43871,107389,121725,30255,87508,19671,91754,70125,170069,151729,144067,84744,46149,80200,7645,970,1372,8894,15799,15721,10808,3198,33773,293,2339,8157,9277,14344,4727,10671,1854,6952,35680,19834,22298,101851,33565,25016,35789,14564,39094,26563,26948,158083,44741,42152,5797,22500,5605,32850,51587,6024,65917,10441,129719,84749,173312,290758,21403,4889,5442,17210,18137,18059,429599,1021821,397344,246732,35519,248914,438581,25019,40026,14686,20016,24917,13510,209328,773863,203778,28630,35707,125967,16204,36407,33070,21660,27581,50494,53182,74608,48033,59639,62388,84547,29485,15202,31162,23016,14836,15993,15521,34238,12145,20458,102323,66069,41954,28746,7366,68851,24957,96398,24179,32633,34988,33495,53202,10650,20632,122910,14775,29133,7924,39326,28677,21461,9954,18394,54633,17046,6627,31773,10365,8577,20661,29182,15423,11852,27334,63572,25814,30833,17774,36129,6370,50615,83281,98233,61250,26835,69249,61403,34597,21837,23914,22555,37967,50791,32151,18134,19537,101328,20295903
América Latina,SECCION X Pasta de Madera o de las demás Materias Fibrosas Celulosicas; Papel o Cartón para Reciclar; Papel o Cartón y sus Aplicaciones.,1974646,2124681,2751376,4776442,5187467,4394540,5627837,3190137,3755962,3333637,3043861,2981967,5643252,3266724,3650380,3198092,3658140,3568625,4446864,3484595,4297165,3354561,3399905,4809482,4035844,3308249,4081196,4439558,3725113,3391514,4957287,4054190,3073950,3398232,3511056,6346340,3812612,4112392,3781723,4260746,4050438,3413377,4868046,5322222,4679129,4524277,50036937,4967296,2249231,1284118,2269766,2257252,1947482,1876252,1651672,2265128,3024299,2803827,1651329,2363325,1953564,1869413,2149999,3077424,3005013,2889771,1861832,1061804,442462,175587,595347,464668,363903,456846,408642,454907,775286,565754,519549,511266,546335,431435,682065,807087,4399996,1749826,1648567,1439669,1242328,2272460,2546952,1364587,1689940,2155499,1493576,4054411,2804512,1920849,1435673,2019248,2400045,2047439,3310047,2656005,2244602,2398775,2038152,3779401,4765402,1384542,2013524,1290222,1805028,1449472,2609367,1250570,1864658,1605660,2290422,3325661,4024355,1370664,2281302,1900382,1308070,1915472,2427882,1868373,1754017,3249378,2669641,4769745,3496423,2551685,1866825,1438799,1514437,1740937,2623779,2560480,1794350,1550992,2413448,4573555,3629279,1775522,1934624,1367252,1177953,1959857,2534952,2034762,1775564,2291573,3220446,3169930,3850659,1422515,1502302,1406543,1464379,1399540,2291226,2079373,1606842,2101910,2925602,3493122,9998519,6993413,7725473,8696074,7354847,7226783,8895270,8754264,9400908,9594948,11690847,9852468,9373410,7282661,8212850,8708527,7908385,8719941,7262058,5969448,6636260,7994835,9858080,8452100,7244622,6188467,5927503,6208917,5376399,7055468,6486053,7156933,5455827,7453375,8792617,7454155,7977685,5790954,5834102,5713139,5598213,5515748,6851786,805277441
América Latina,SECCION XI Materias Textiles y sus Manufacturas.,4409626,3551162,5168241,4101562,4905232,3957613,4218738,4420095,4169962,3789725,3878834,4899265,2120034,2286227,3129044,1902962,2537269,2137537,1462087,2300250,1952145,2843049,1403315,1436239,1696621,1582711,1647973,1855420,2145899,1571960,1841147,1717634,1637190,1667557,2024558,2094126,1124233,1466883,1645685,2495417,1724449,1815545,1710981,2273134,2365384,2685709,1311565,2219303,915035,1497083,2468355,3155821,2561878,2448416,1996357,3500337,2986137,2755794,1833701,2806956,1939371,2150597,3951860,3560751,3311080,2846339,2289746,2297905,2886393,2764848,1668840,1256955,885204,363963,558466,601297,394186,786002,408306,580919,308244,335323,997910,316989,2459968,2569417,3097483,3755897,4010919,4039574,4100133,4066651,3872789,4376430,4635099,4032342,3617812,4002791,2208924,4307316,3867337,3384464,4462099,4309907,4761803,5635618,4948376,4142438,3521490,2544458,3972356,4096681,3967855,4187913,4478790,3360019,4160629,4293410,4459726,5308030,2944996,4103996,4279199,4596349,4521290,5178069,7316517,4658786,6359269,5471252,5716650,5560006,5267331,5109773,8171546,7035234,5502291,6941333,16957025,5278861,7007564,4534371,5537745,4192229,5902215,3576853,9435139,6851338,6082779,7072851,5376352,8465363,6459918,6050503,6159728,6220123,5198774,6908322,6672405,6753841,7708460,6219607,6939620,7843233,6193943,8725461,9191893,8103975,6657756,5527658,7291273,6599045,7587935,5600564,8000162,7937237,6471171,7956276,6111832,8248770,1533739,7409888,6736254,6564254,8026381,5827628,8480054,5757902,2472358,3357514,1807006,4798698,2399563,1827868,2711908,2074934,2038283,1936722,2648884,1870582,3030057,2840142,2403301,2159727,1327425,2597480,3265241,2958914,3546895,2842563,3285401,831586886
América Latina,"SECCION XII Calzado, Sombreros y demás Tocados, Paraguas, Quitasoles, Bastones, Látigos, Fustas y sus Partes; Plumas Preparados y Artículos de Plumas; Flores Artificiales; Manufacturas de Cabello.",80447,166319,139898,86785,95936,113692,87962,151863,137799,252091,134389,79597,38019,71731,84245,79246,180165,157052,32252,168699,131147,268148,106206,67113,51887,130881,117476,116906,152286,159458,34591,80171,65640,227566,114831,86337,144418,91583,131419,111027,73337,90170,112000,24587,103093,94329,55411,54821,62198,56492,60757,69502,93671,63268,82489,47331,121420,57431,111803,23822,36435,10504,62435,74036,103989,29264,107728,5183,46668,56625,36268,28953,17790,62948,72468,127201,59517,509909,66063,14665,67915,28569,151395,34220,29332,68764,157049,183884,102997,49712,166569,145604,113623,374250,92640,60391,48625,207164,246209,195059,141386,173931,415065,132751,184161,670470,96813,121912,285578,225234,360528,260222,31017,147440,57753,16569,193233,213061,224386,50102,212240,232331,113550,169355,107042,177465,183275,194970,146265,184478,94482,110933,72987,38210,271917,223065,262693,188519,101169,137838,146042,251939,135805,54316,212171,98497,167905,189148,219712,27149,113252,114792,131921,173188,104183,112406,132586,126215,151268,159180,237259,50200,194791,308278,230630,222511,248652,207652,878412,1439778,206052,193651,2330228,308704,344631,211996,578519,361194,258510,150661,392299,280928,279042,443952,268795,401329,277435,245263,547002,230475,137989,376154,72352,180355,419344,392777,178494,415244,219521,311821,671021,384394,452465,223187,117417,332381,530624,377712,338921,424924,183155,39352857
América Latina,"SECCION XIII Manufacturas de Piedra, Yeso Fraguable, Cemento, Amianto,Mica o Materias Análogas; Productos Cerámicos, Vidrio y Manufacturas de Vidrio.",896425,717993,1008835,1050418,1354733,1264644,1270113,1217427,825209,1482151,1059002,920147,1151390,1105556,1662717,1302884,2022837,1339906,1258802,1347919,2209737,968761,856963,1043237,973722,586701,861067,845540,1026220,512609,560958,625669,731918,925587,606848,517306,572576,372201,1415190,1044238,416349,368242,504153,401283,671057,523059,1016038,672803,825686,1085570,1488263,1329470,1424756,1486049,1198334,1590066,1311528,1119499,1588970,1538678,1441268,1716367,1557424,1785589,1953326,1531019,1233818,1942634,2665458,2123619,2524496,2896319,3573850,1446612,2476488,3210168,3442961,3321148,1765025,2805264,2265373,2778810,2714705,3268563,3285328,3416755,3599027,3197160,3282255,4459555,3926662,4330859,2156292,3571985,2959743,2936332,4057835,2807858,4284007,3505916,3276799,3229054,3994362,3352867,3029362,3789406,2106313,3014635,3424460,5463015,3879026,3581887,4564679,4310536,16224889,22077990,19116742,16895009,20085936,14670991,13503617,16469353,21286830,18172925,23210215,27497736,16059889,26494301,28696215,23128419,22797265,28084290,33036346,31295252,28257559,23972228,29518746,25939751,26257305,33462487,25990789,25665035,27388185,21252936,27453312,25349058,24857501,29372894,26345012,21862051,30404708,23189737,17827976,24084988,17356730,17874383,24655446,22061927,24851097,30035187,31092018,27051904,31127866,26412806,23409450,29590170,27622358,25457055,1588271,2464114,3505419,2508184,1851098,2133663,1879608,1444478,1737089,2267406,2902157,3904295,1584193,2047584,2456120,3017574,2059816,1552670,2401308,2394324,2179400,1585307,1060188,3353437,1469681,1311470,1187478,1819971,1275446,1554019,1209684,1923333,1686783,1749793,1850334,2128864,1865877,1025729,1832078,1476622,1647885,2298563,1317240,1625673525
América Latina,"SECCION XIV Perlas Naturales o Cultivadas, Piedras Preciosas o Semipreciosas, Metales Preciosos y Manufacturas de estas Materias; Bisutería; Monedas.",8253,3745,51338,9647,35395,18828,25371,15681,1300,29129,50016,59383,14236,11537,6734,1383,2293,N/D,150,4436,253,3903,3377,1795,10366,200,10611,1039,5,1114,N/D,3361,446,12218,5360,22180,550,1629,6575,1561,15563,9684,18161,123857,6003,80729,59823,85196,19756,37227,105957,70194,45983,36163,35973,98842,12385,109234,138409,34905,26601,24783,16195,74738,53343,35755,49506,39472,44386,68593,57614,29023,24208,10781,55709,38484,26262,15325,28895,41082,39512,39072,41667,25641,27453,60282,258684,34158,19753,241900,36634,44999,33282,31417,28308,29690,10115,26565,31094,31564,49670,16449,14198,44627,44344,31026,33139,38753,53357,22345,23264,22968,16324,32841,16258,39629,27367,55129,41481,38403,37186,36376,33576,35397,18564,20759,22444,21800,20349,41602,166970,44628,32708,56215,18009,11119,2020774,27826,30740,1702273,21613,14184,59356,87097,22682,25039,24248,84931,27319,26467,35186,52870,77207,110885,46914,43978,46845,47012,49178,47682,35907,37077,49345,41441,22854,97509,90829,45249,252820,1565927,1205121,1421595,1980532,1129456,1611844,1216459,1615695,1688315,2265774,1445455,991309,1150236,1230007,1715127,1587651,1513754,2059958,1649930,1203862,1582665,1238780,922058,601568,584333,211150,2266350,2453358,2521124,1085467,776516,747609,1542933,892440,1144297,1289537,1192510,1472976,1202194,1346863,1076612,1583836,68099766
América Latina,SECCION XV Metales Comúnes y Manufacturas de estos Metales.,9378396,3725001,5030788,4552673,6131823,5178864,5831361,5612268,5720344,5418828,6603972,4787498,9204243,8041514,10773913,10188419,9290993,6889156,7423207,7240864,7344858,11031270,9076363,8106621,8022148,8419233,9211828,9092369,6870061,7675095,8670109,8003971,9115886,10981863,9187825,9827145,8881015,6380295,7732858,6383769,5786896,5888904,6838260,5626234,7354583,5925543,6904340,5920726,5547454,4523247,6297154,5868460,6539495,6687807,5943948,6867622,6342743,7378515,9007010,6611324,4971089,4636907,5358510,6970957,5719974,5687303,6793143,6913982,6132067,5385684,5961294,4028999,4166585,3819987,5439078,4532142,6962736,5475723,5406652,5866136,6731012,7778692,7272674,7029637,9284143,8395241,11486957,15757452,18995059,22997205,11929824,36250840,18461829,24655046,27012024,22169864,20791935,37134956,24768227,18100083,12494914,13471847,31868990,50835287,76293355,17773469,17428727,9393935,9243394,6370357,10155278,7740000,10587282,18475329,10734202,14381732,17183859,20629270,18677062,19347833,21060048,13471683,25737103,43494970,48627546,39859893,62354931,26516867,25152733,15616845,22186471,28769223,22841930,14488631,36484902,42437345,53168506,51959799,36932796,47233063,31352479,42029896,47232235,31936070,30485311,27225608,63511494,34030967,57648002,50889846,46110837,35973926,37223371,41565212,37835462,41414924,53216791,44161425,51816871,38711448,45079168,44921685,45022797,56134163,84536165,72884342,49330562,32503829,20199979,16257156,17836088,19150717,16446957,19225735,19050337,17457993,18463528,19445110,20533039,18409278,17868633,17619817,17584601,21233445,16654241,16565223,18419610,17212023,14712915,18874520,15049666,19332610,15370415,18566700,17912738,18800682,18377462,16101098,14759496,17972928,19081959,17954716,17420365,18550918,17001595,17740207,22291419,19826680,21194494,21379091,19142380,4031444725
